Compound Name	Proportion	Count	Total	Score	Truth	Rank
trans-aconitic acid	0	0	450	Original	True Negative	5
fumaric acid	0.1333	100	750	Original	True Negative	5
oleic acid	0.2	50	250	Original	True Negative	5
hippuric acid 2	0	0	500	Original	True Negative	5
linoleic acid	0.25	50	200	Original	True Negative	5
stearic acid	0.4	100	250	Original	True Negative	5
Creatinine	0	0	600	Original	True Negative	5
D-mannitol	0	0	1700	Original	True Negative	5
DL-3-aminoisobutyric acid 2	0	0	400	Original	True Negative	5
norvaline 2	0	0	800	Original	True Negative	5
7-methylxanthine	0.1667	50	300	Original	True Negative	5
xylitol	0	0	450	Original	True Negative	5
iminodiacetic acid 2	0.1786	250	1400	Original	True Negative	5
myo-inositol	0	0	150	Original	True Negative	5
scyllo-inositol	0	0	300	Original	True Negative	5
arabitol	0	0	600	Original	True Negative	5
palmitic acid	0	0	50	Original	True Negative	5
galactitol	0	0	1250	Original	True Negative	5
D-gluconic acid 3	0	0	100	Original	True Negative	5
erythritol	0	0	1300	Original	True Negative	5
D-threitol	0	0	1700	Original	True Negative	5
D-saccharic acid	0	0	250	Original	True Negative	5
D-galacturonic acid 1(M)	0.0333	50	1500	Original	True Negative	5
IS benzoic acid d5	0.0611	550	9000	Original	True Negative	5
IS citric acid d4	0.0375	150	4000	Original	True Negative	5
IS D-fructose 13C6 1(M)	0.0615	750	12200	Original	True Negative	5
IS D-fructose 13C6 2	0.0492	650	13200	Original	True Negative	5
IS L-alanine d7	0.2717	1250	4600	Original	True Negative	5
IS octanoic acid d15	0.071	650	9150	Original	True Negative	5
IS L-tryptophan d5 1	0.0845	300	3550	Original	True Negative	5
IS L-tryptophan d5 2	0.4286	1500	3500	Original	True Negative	5
N-formylglycine 2	0	0	1050	Original	True Negative	5
6-hydroxy-alpha-methylnaphthaleneacetic acid	0	0	200	Original	True Negative	5
D-ribose	0	0	200	Original	True Negative	5
D-xylose 2	1	100	100	Original	True Negative	5
D-arabinose	0	0	100	Original	True Negative	5
D-lyxose 2	0.2353	600	2550	Original	True Negative	5
lactose 2	0	0	50	Original	True Negative	5
ribitol	0	0	150	Original	True Negative	5
4-hydroxyphenylacetic acid	0	0	2900	Original	True Negative	5
citric acid	0	0	400	Original	True Negative	5
D-fructose major	0	0	1050	Original	True Negative	5
D-fructose minor	0	0	950	Original	True Negative	5
D-galactose	0	0	700	Original	True Negative	5
D-glucose major	0	0	800	Original	True Negative	5
D-glucose minor	0.1333	100	750	Original	True Negative	5
D-mannose	0	0	550	Original	True Negative	5
ethanolamine	0.0909	150	1650	Original	True Negative	5
glycine	0.1818	100	550	Original	True Negative	5
L-aspartic acid	0	0	200	Original	True Negative	5
L-cysteine	0	0	300	Original	True Negative	5
L-glutamic acid	0	0	350	Original	True Negative	5
L-glutamine minor 2	0.2222	100	450	Original	True Negative	5
L-isoleucine	0.3077	200	650	Original	True Negative	5
L-leucine	0.25	100	400	Original	True Negative	5
L-lysine	0.0769	50	650	Original	True Negative	5
L-methionine	0	0	350	Original	True Negative	5
L-phenylalanine	0	0	250	Original	True Negative	5
L-proline	0.1538	100	650	Original	True Negative	5
L-pyroglutamic acid	0	0	250	Original	True Negative	5
L-serine	0	0	100	Original	True Negative	5
L-threonine	0	0	100	Original	True Negative	5
L-tyrosine major	0.1176	100	850	Original	True Negative	5
L-tyrosine minor	0	0	350	Original	True Negative	5
lactic acid	0	0	100	Original	True Negative	5
oxalic acid	0	0	800	Original	True Negative	5
phosphoric acid	0.6324	7968	12600	Original Adjusted	True Positive	1
propylene glycol	0.8432	1855	2200	Original Adjusted	True Positive	1
myristic acid	0	0	10700	Original Adjusted	True Positive	1
2-hydroxybutyric acid	0.3065	4000	13050	Original Adjusted	True Positive	1
uracil	0.4699	1950	4150	Original Adjusted	True Positive	1
uric acid 1	0.325	520	1600	Original Adjusted	True Positive	1
urea	0.0301	125	4150	Original Adjusted	True Positive	1
isocitric acid	0.1324	225	1700	Original Adjusted	True Positive	1
galactonic acid	0.3546	656	1850	Original Adjusted	True Positive	1
2-ketocaproic acid	0	0	2350	Original Adjusted	True Positive	1
glycine-d5 deuterated	0	0	1600	Original Adjusted	True Positive	1
catechol	0.6386	1405	2200	Original Adjusted	True Positive	1
glyceric acid	0.5705	8529	14950	Original Adjusted	True Positive	1
citramalic acid	0	0	3000	Original Adjusted	True Positive	1
trans-aconitic acid	0.4417	2650	6000	Original Adjusted	True Positive	1
fumaric acid	0.1169	298	2550	Original Adjusted	True Positive	1
oleic acid	0.16	240	1500	Original Adjusted	True Positive	1
hippuric acid 2	0.0756	121	1600	Original Adjusted	True Positive	1
linoleic acid	0.0807	121	1500	Original Adjusted	True Positive	1
stearic acid	0.4373	656	1500	Original Adjusted	True Positive	1
Creatinine	0.0593	863	14550	Original Adjusted	True Positive	1
D-mannitol	0.2509	3400	13550	Original Adjusted	True Positive	1
DL-3-aminoisobutyric acid 2	0	0	1950	Original Adjusted	True Positive	1
norvaline 2	0.0338	108	3200	Original Adjusted	True Positive	1
7-methylxanthine	0.3687	977	2650	Original Adjusted	True Positive	1
xylitol	0.0014	20	13900	Original Adjusted	True Positive	1
glycerol	0.0718	898	12500	Original Adjusted	True Positive	1
carbonate ion	0.1944	2080	10700	Original Adjusted	True Positive	1
iminodiacetic acid 2	0.084	126	1500	Original Adjusted	True Positive	1
myo-inositol	0.6923	8100	11700	Original Adjusted	True Positive	1
scyllo-inositol	0.2377	2971	12500	Original Adjusted	True Positive	1
arabitol	0.0057	12	2100	Original Adjusted	True Positive	1
palmitic acid	0.4415	2119	4800	Original Adjusted	True Positive	1
galactitol	0.5761	6596	11450	Original Adjusted	True Positive	1
D-gluconic acid 3	0.4627	1018	2200	Original Adjusted	True Positive	1
erythritol	0.1777	2603	14650	Original Adjusted	True Positive	1
D-threitol	0.013	182	14000	Original Adjusted	True Positive	1
D-saccharic acid	0.5938	950	1600	Original Adjusted	True Positive	1
D-galacturonic acid 1(M)	0.1639	254	1550	Original Adjusted	True Positive	1
IS benzoic acid d5	0.0202	261	12950	Original Adjusted	True Positive	1
IS citric acid d4	0	0	2950	Original Adjusted	True Positive	1
IS D-fructose 13C6 1(M)	0.0386	110	2850	Original Adjusted	True Positive	1
IS D-fructose 13C6 2	0.0227	50	2200	Original Adjusted	True Positive	1
IS L-alanine d7	0.8159	11218	13750	Original Adjusted	True Positive	1
IS octanoic acid d15	0	0	12700	Original Adjusted	True Positive	1
IS L-tryptophan d5 1	0.0016	7	4400	Original Adjusted	True Positive	1
IS L-tryptophan d5 2	0.097	1436	14800	Original Adjusted	True Positive	1
N-formylglycine 2	0.2845	441	1550	Original Adjusted	True Positive	1
6-hydroxy-alpha-methylnaphthaleneacetic acid	0	0	1500	Original Adjusted	True Positive	1
D-ribose	0.0565	209	3700	Original Adjusted	True Positive	1
D-xylose 2	0.267	1335	5000	Original Adjusted	True Positive	1
D-arabinose	0.3669	1651	4500	Original Adjusted	True Positive	1
D-lyxose 2	0	0	10400	Original Adjusted	True Positive	1
lactose 2	0	0	1600	Original Adjusted	True Positive	1
ribitol	0.1354	650	4800	Original Adjusted	True Positive	1
4-hydroxyphenylacetic acid	0.0113	22	1950	Original Adjusted	True Positive	1
citric acid	0.004	51	12800	Original Adjusted	True Positive	1
D-fructose major	0.0071	93	13150	Original Adjusted	True Positive	1
D-fructose minor	0.0936	262	2800	Original Adjusted	True Positive	1
D-galactose	0.0246	75	3050	Original Adjusted	True Positive	1
D-glucose major	0.0917	766	8350	Original Adjusted	True Positive	1
D-glucose minor	0.0165	250	15150	Original Adjusted	True Positive	1
D-mannose	0.1945	457	2350	Original Adjusted	True Positive	1
ethanolamine	0.0382	468	12250	Original Adjusted	True Positive	1
glycine	0.1946	1518	7800	Original Adjusted	True Positive	1
L-alanine	0.5315	6272	11800	Original Adjusted	True Positive	1
L-aspartic acid	0	0	1600	Original Adjusted	True Positive	1
L-cysteine	0.0185	36	1950	Original Adjusted	True Positive	1
L-glutamic acid	0.5479	3178	5800	Original Adjusted	True Positive	1
L-glutamine major	0.1821	2759	15150	Original Adjusted	True Positive	1
L-glutamine minor 2	0.1101	1316	11950	Original Adjusted	True Positive	1
L-isoleucine	0.0543	913	16800	Original Adjusted	True Positive	1
L-leucine	0	0	12350	Original Adjusted	True Positive	1
L-lysine	0.0279	46	1650	Original Adjusted	True Positive	1
L-methionine	0.6615	2150	3250	Original Adjusted	True Positive	1
L-ornithine	0.2111	950	4500	Original Adjusted	True Positive	1
L-phenylalanine	0.6672	10475	15700	Original Adjusted	True Positive	1
L-proline	0	0	3700	Original Adjusted	True Positive	1
L-pyroglutamic acid	0.0032	50	15850	Original Adjusted	True Positive	1
L-serine	0.1517	2936	19350	Original Adjusted	True Positive	1
L-threonine	0.4647	9248	19900	Original Adjusted	True Positive	1
L-tyrosine major	0.0455	296	6500	Original Adjusted	True Positive	1
L-tyrosine minor	0.0676	186	2750	Original Adjusted	True Positive	1
L-valine	0.4451	1491	3350	Original Adjusted	True Positive	1
lactic acid	0.4612	761	1650	Original Adjusted	True Positive	1
oxalic acid	0.6641	5512	8300	Original Adjusted	True Positive	1
sucrose	0.4496	1686	3750	Original Adjusted	True Positive	1
phosphoric acid	0.9325	11750	12600	Original Adjusted	True Positive	5
propylene glycol	1	2200	2200	Original Adjusted	True Positive	5
myristic acid	0.7854	8404	10700	Original Adjusted	True Positive	5
2-hydroxybutyric acid	0.8932	11656	13050	Original Adjusted	True Positive	5
uracil	0.7836	3252	4150	Original Adjusted	True Positive	5
uric acid 1	0.4625	740	1600	Original Adjusted	True Positive	5
urea	0.6747	2800	4150	Original Adjusted	True Positive	5
isocitric acid	0.59	1003	1700	Original Adjusted	True Positive	5
galactonic acid	0.7373	1364	1850	Original Adjusted	True Positive	5
2-ketocaproic acid	0.7647	1797	2350	Original Adjusted	True Positive	5
glycine-d5 deuterated	0.3875	620	1600	Original Adjusted	True Positive	5
catechol	0.9545	2100	2200	Original Adjusted	True Positive	5
glyceric acid	0.9913	14820	14950	Original Adjusted	True Positive	5
citramalic acid	0.7667	2300	3000	Original Adjusted	True Positive	5
trans-aconitic acid	0.5667	3400	6000	Original Adjusted	True Positive	5
fumaric acid	0.8	2040	2550	Original Adjusted	True Positive	5
oleic acid	0.9647	1447	1500	Original Adjusted	True Positive	5
hippuric acid 2	0.2188	350	1600	Original Adjusted	True Positive	5
linoleic acid	0.8613	1292	1500	Original Adjusted	True Positive	5
stearic acid	0.9307	1396	1500	Original Adjusted	True Positive	5
Creatinine	0.6931	10084	14550	Original Adjusted	True Positive	5
D-mannitol	0.7795	10562	13550	Original Adjusted	True Positive	5
DL-3-aminoisobutyric acid 2	0.8964	1748	1950	Original Adjusted	True Positive	5
norvaline 2	0.9394	3006	3200	Original Adjusted	True Positive	5
7-methylxanthine	0.7155	1896	2650	Original Adjusted	True Positive	5
xylitol	0.7122	9900	13900	Original Adjusted	True Positive	5
glycerol	0.908	11350	12500	Original Adjusted	True Positive	5
carbonate ion	0.8968	9596	10700	Original Adjusted	True Positive	5
iminodiacetic acid 2	0.8333	1250	1500	Original Adjusted	True Positive	5
myo-inositol	0.8904	10418	11700	Original Adjusted	True Positive	5
scyllo-inositol	0.898	11225	12500	Original Adjusted	True Positive	5
arabitol	0.8333	1750	2100	Original Adjusted	True Positive	5
palmitic acid	0.8502	4081	4800	Original Adjusted	True Positive	5
galactitol	0.8384	9600	11450	Original Adjusted	True Positive	5
D-gluconic acid 3	0.8318	1830	2200	Original Adjusted	True Positive	5
erythritol	0.686	10050	14650	Original Adjusted	True Positive	5
D-threitol	0.8286	11600	14000	Original Adjusted	True Positive	5
D-saccharic acid	0.7988	1278	1600	Original Adjusted	True Positive	5
D-galacturonic acid 1(M)	0.851	1319	1550	Original Adjusted	True Positive	5
IS benzoic acid d5	0.8397	10874	12950	Original Adjusted	True Positive	5
IS citric acid d4	0.6102	1800	2950	Original Adjusted	True Positive	5
IS D-fructose 13C6 1(M)	0.0526	150	2850	Original Adjusted	True Positive	5
IS D-fructose 13C6 2	0.2045	450	2200	Original Adjusted	True Positive	5
IS L-alanine d7	0.9927	13650	13750	Original Adjusted	True Positive	5
IS octanoic acid d15	0.8703	11053	12700	Original Adjusted	True Positive	5
IS L-tryptophan d5 1	1	4400	4400	Original Adjusted	True Positive	5
IS L-tryptophan d5 2	0.8176	12100	14800	Original Adjusted	True Positive	5
N-formylglycine 2	0.8755	1357	1550	Original Adjusted	True Positive	5
6-hydroxy-alpha-methylnaphthaleneacetic acid	1	1500	1500	Original Adjusted	True Positive	5
D-ribose	0.9462	3501	3700	Original Adjusted	True Positive	5
D-xylose 2	0.709	3545	5000	Original Adjusted	True Positive	5
D-arabinose	0.4111	1850	4500	Original Adjusted	True Positive	5
D-lyxose 2	0.0018	19	10400	Original Adjusted	True Positive	5
lactose 2	0	0	1600	Original Adjusted	True Positive	5
ribitol	0.5775	2772	4800	Original Adjusted	True Positive	5
4-hydroxyphenylacetic acid	0.7949	1550	1950	Original Adjusted	True Positive	5
citric acid	0.7997	10236	12800	Original Adjusted	True Positive	5
D-fructose major	0.8441	11100	13150	Original Adjusted	True Positive	5
D-fructose minor	0.5493	1538	2800	Original Adjusted	True Positive	5
D-galactose	0.6354	1938	3050	Original Adjusted	True Positive	5
D-glucose major	0.4129	3448	8350	Original Adjusted	True Positive	5
D-glucose minor	0.5479	8300	15150	Original Adjusted	True Positive	5
D-mannose	0.8447	1985	2350	Original Adjusted	True Positive	5
ethanolamine	0.8419	10313	12250	Original Adjusted	True Positive	5
glycine	0.5676	4427	7800	Original Adjusted	True Positive	5
L-alanine	0.9997	11797	11800	Original Adjusted	True Positive	5
L-aspartic acid	0.5312	850	1600	Original Adjusted	True Positive	5
L-cysteine	0.7692	1500	1950	Original Adjusted	True Positive	5
